FireId,Org,Region,UNIT_ID,UnitName,FIRE_YEAR,FIRE_NUM,FireCode,FIRE_NAME,FirePrType,CauseCat,Owner,OrAccuracy,LocMethod,LatNAD83,LongNAD83,StartDate,InitAtDate,ContainedDate,ContainedAcres,ContrDate,ContrAcres,OutDate,WUI,IntersectFuels,AddedtoNFPORS,NFPORSNum,CompCode
228014,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,1,,OASISNE,11,Human,3,,,25.8961,-81.0272,19860103,19860103,,,19860106,30,19860106,,,,,Complete
228015,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,2,,OASIS NE 2,14,Human,3,,,25.9017,-81.0278,19860104,19860104,,,19860105,5.7,19860106,,,,,Complete
228016,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,3,,JETPORT,16,Human,6,,,25.9458,-80.8669,19860104,19860104,,,19860105,2,19860106,,,,,Complete
228017,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,6,,BASSLK TRR,48,Human,3,,,25.9556,-81.2806,19860107,,,,19860131,2300,19860131,,,,,Complete
228018,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,7,,BRADLEY,11,Human,3,,,25.9572,-81.2617,19860113,19860113,,,19860114,20.1,19860115,,,,,Complete
228019,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,8,,BMW,11,Human,3,,,25.8628,-81.0697,19860119,19860119,,,19860119,0.1,19860119,,,,,Complete
228020,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,9,,ROADSIDE 1,11,Human,3,,,25.8203,-80.955,19860121,19860121,,,19860121,0.1,19860121,,,,,Complete
228021,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,13,,BURNS,16,Human,7,,,25.8733,-81.2164,19860125,19860125,,,19860125,0.2,19860125,,,,,Complete
228022,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,14,,GULFSTAT,11,Human,3,,,25.9364,-81.25,19860127,19860127,,,19860127,2.8,19860128,,,,,Complete
228023,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,15,,S LOOP RD,48,Human,3,,,25.7581,-80.8861,19860128,,,,19860228,100,19860228,,,,,Complete
228024,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,16,,TENMILE 2,48,Human,3,,,25.6342,-80.8942,19860128,,,,19860129,2020,19860129,,,,,Complete
228025,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,17,,50 MILE,16,Human,7,,,25.8256,-80.8992,19860201,19860201,,,19860201,0.2,19860201,,,,,Complete
228026,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,19,,BIRDON NW,48,Human,3,,,25.9661,-81.3194,19860201,,,,19860202,1312.3,19860203,,,,,Complete
228027,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,21,,GULF STAT2,21,Human,3,,,25.9456,-81.2575,19860127,,,,,5.8,19860127,,,,,Complete
228028,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,22,,MOTH,11,Human,3,,,25.9364,-81.15,19860207,19860207,,,19860208,1.5,19860209,,,,,Complete
228029,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,23,,DEEP,11,Human,3,,,26.0836,-81.3267,19860208,19860208,,,19860210,3332.9,19860213,,,,,Complete
228030,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,24,,TIE,11,Human,3,,,25.9981,-80.875,19860208,19860208,,,19860209,1,19860210,,,,,Complete
228031,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,25,,BROWN,48,Human,3,,,26.2253,-81.2006,19860208,,,,19860226,3104,19860226,,,,,Complete
228032,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,26,,MULLETS,14,Human,3,,,26.0928,-81.1647,19860208,19860208,,,19860208,0.5,19860209,,,,,Complete
228033,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,27,,COX,11,Human,3,,,25.9439,-81.2636,19860213,19860213,,,19860213,0.5,19860214,,,,,Complete
228034,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,28,,SMALL,11,Human,3,,,25.8581,-81.2594,19860214,19860214,,,19860215,0.1,19860215,,,,,Complete
228035,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,29,,GOLIGHTLY,11,Human,3,,,25.7481,-80.9361,19860220,19860220,,,19860221,14.3,19860225,,,,,Complete
228036,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,30,,CON CLUB,48,Human,3,,,25.8556,-81.1006,19860212,,,,19860222,929.9,19860222,,,,,Complete
228037,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,31,,HOUGHTON,14,Human,3,,,25.9739,-80.8831,19860223,19860223,,,19860224,22.9,19860225,,,,,Complete
228038,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,32,,ROADSIDE 2,16,Human,7,,,25.8628,-81.0972,19860306,19860306,,,19860306,0.1,19860306,,,,,Complete
228039,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,33,,ALLEY,16,Human,7,,,26.1514,-81.26,19860307,19860307,,,19860307,3.2,19860309,,,,,Complete
228040,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,34,,MCCUTCHEON,11,Human,3,,,25.8917,-81.0278,19860308,19860309,,,19860309,17.2,19860312,,,,,Complete
228041,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,35,,PINEOAKS 1,11,Human,3,,,25.9303,-81.2594,19860309,19860309,,,19860312,220,19860315,,,,,Complete
228042,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,36,,25 MILE,11,Human,3,,,26.1542,-81.2775,19860313,19860313,,,19860313,5.7,19860313,,,,,Complete
228043,NPS,SERO,FLBCP,Big Cypress National Preserve,1986,37,,GANNET,11,Human,3,,,25.8583,-81.0617,19860313,19860313,,,19860315,81.8,19860317,,,,,Complete
