FireId,Org,Region,UNIT_ID,UnitName,FIRE_YEAR,FIRE_NUM,FireCode,FIRE_NAME,FirePrType,CauseCat,Owner,OrAccuracy,LocMethod,LatNAD83,LongNAD83,StartDate,InitAtDate,ContainedDate,ContainedAcres,ContrDate,ContrAcres,OutDate,WUI,IntersectFuels,AddedtoNFPORS,NFPORSNum,CompCode
230068,NPS,SERO,FLEVP,Everglades National Park,1971,1001,,LAST DAY F,11,Human,3,,,25.368935,-80.725452,19710103,19710103,,,19710103,120,19710103,,,,,Incomplete
230069,NPS,SERO,FLEVP,Everglades National Park,1971,1002,,PHILS FOLL,11,Human,3,,,25.655979,-80.501382,19710109,19710109,,,19710109,26,19710109,,,,,Incomplete
230070,NPS,SERO,FLEVP,Everglades National Park,1971,1003,,N 1/3 SHAR,11,Human,3,,,,,19710217,19710217,,,19710217,26,19710217,,,,,Incomplete
230071,NPS,SERO,FLEVP,Everglades National Park,1971,1004,,IRON POT T,49,Human,3,,,,,19710701,19710701,,,19710701,2400,19710701,,,,,Incomplete
230072,NPS,SERO,FLEVP,Everglades National Park,1971,1005,,SMOOL JOE,11,Human,3,,,25.552365,-80.577624,19710211,19710211,,,19710211,2100,19710211,,,,,Incomplete
230073,NPS,SERO,FLEVP,Everglades National Park,1971,1006,,LAST CHANC,11,Human,3,,,25.579655,-80.558818,19710216,19710216,,,19710216,1600,19710216,,,,,Incomplete
230074,NPS,SERO,FLEVP,Everglades National Park,1971,1007,,MIDDLE 1/3,49,Human,3,,,,,19710701,19710701,,,19710701,0.1,19710701,,,,,Incomplete
230075,NPS,SERO,FLEVP,Everglades National Park,1971,1008,,POLACKS FI,11,Human,3,,,25.759413,-80.589763,19710314,19710314,,,19710314,25,19710314,,,,,Incomplete
230076,NPS,SERO,FLEVP,Everglades National Park,1971,1009,,TRAINEE,11,Human,3,,,25.631146,-80.533799,19710318,19710318,,,19710318,390,19710318,,,,,Incomplete
230077,NPS,SERO,FLEVP,Everglades National Park,1971,1010,,POWDER KEG,11,Human,3,,,25.759203,-80.525841,19710323,19710323,,,19710323,25,19710323,,,,,Incomplete
230078,NPS,SERO,FLEVP,Everglades National Park,1971,1011,,OLD KENTUC,11,Human,3,,,25.593828,-80.541496,19710327,19710327,,,19710327,69,19710327,,,,,Incomplete
230079,NPS,SERO,FLEVP,Everglades National Park,1971,1012,,HAWK SITE,11,Human,3,,,,,19710327,19710327,,,19710327,320,19710327,,,,,Incomplete
230080,NPS,SERO,FLEVP,Everglades National Park,1971,1013,,COOPERTOWN,11,Human,3,,,25.787894,-80.543958,19710403,19710403,,,19710403,360,19710403,,,,,Incomplete
230081,NPS,SERO,FLEVP,Everglades National Park,1971,1014,,BAD LUCK F,11,Human,3,,,25.755862,-80.502867,19710408,19710408,,,19710408,1850,19710408,,,,,Incomplete
230082,NPS,SERO,FLEVP,Everglades National Park,1971,1015,,GOTCHA FIR,11,Human,3,,,25.719461,-80.566601,19710411,19710411,,,19710411,18500,19710411,,,,,Incomplete
230083,NPS,SERO,FLEVP,Everglades National Park,1971,1016,,TAMIAMI TR,11,Human,3,,,25.824367,-80.44212,19710430,19710430,,,19710430,31365,19710430,,,,,Incomplete
230084,NPS,SERO,FLEVP,Everglades National Park,1971,1017,,SCORCHED D,11,Human,3,,,25.392806,-80.68035,19710510,19710510,,,19710510,100,19710510,,,,,Incomplete
230085,NPS,SERO,FLEVP,Everglades National Park,1971,1018,,HAIR FAIR,11,Natural,3,,,25.400221,-80.779185,19710513,19710513,,,19710513,300,19710513,,,,,Incomplete
230086,NPS,SERO,FLEVP,Everglades National Park,1971,1019,,CAPE SABLE,49,Human,3,,,25.158094,-81.12698,19710608,19710608,,,19710608,240,19710608,,,,,Incomplete
230087,NPS,SERO,FLEVP,Everglades National Park,1971,1020,,BLOCK V,49,Human,3,,,,,19710728,19710728,,,19710728,17,19710728,,,,,Incomplete
230088,NPS,SERO,FLEVP,Everglades National Park,1971,1021,,BLOCKS V&X,49,Human,3,,,25.387508,-80.585409,19710818,19710818,,,19710818,62,19710818,,,,,Incomplete
230089,NPS,SERO,FLEVP,Everglades National Park,1971,1022,,ROADSIDE,49,Human,3,,,,,19710909,19710909,,,19710909,0.1,19710909,,,,,Incomplete
230090,NPS,SERO,FLEVP,Everglades National Park,1971,1023,,BLOCK C,49,Human,3,,,,,19710910,19710910,,,19710910,300,19710910,,,,,Incomplete
230091,NPS,SERO,FLEVP,Everglades National Park,1971,1024,,ROYAL PALM,49,Human,3,,,25.388936,-80.618135,19710924,19710924,,,19710924,50,19710924,,,,,Incomplete
230092,NPS,SERO,FLEVP,Everglades National Park,1971,1025,,BLOCK Q,49,Human,3,,,25.373716,-80.5963,19710927,19710927,,,19710927,690,19710927,,,,,Incomplete
230093,NPS,SERO,FLEVP,Everglades National Park,1971,1026,,WILDFIRE 1,11,Human,3,,,25.389412,-80.748875,19711001,19711001,,,19711001,2,19711001,,,,,Incomplete
230094,NPS,SERO,FLEVP,Everglades National Park,1971,1027,,WILDFIRE 2,11,Human,3,,,25.338104,-80.757959,19711001,19711001,,,19711001,250,19711001,,,,,Incomplete
230095,NPS,SERO,FLEVP,Everglades National Park,1971,1028,,SHARK VALL,49,Human,3,,,,,19711006,19711006,,,19711006,245,19711006,,,,,Incomplete
230096,NPS,SERO,FLEVP,Everglades National Park,1971,1029,,BLOCK A,49,Human,3,,,25.405679,-80.719614,19711007,19711007,,,19711007,2250,19711007,,,,,Incomplete
230097,NPS,SERO,FLEVP,Everglades National Park,1971,1030,,BLOCK Y,49,Human,3,,,25.393697,-80.575546,19711014,19711014,,,19711014,27,19711014,,,,,Incomplete
230098,NPS,SERO,FLEVP,Everglades National Park,1971,1031,,WILDFIRE 3,11,Human,3,,,,,19711020,19711020,,,19711020,250,19711020,,,,,Incomplete
230099,NPS,SERO,FLEVP,Everglades National Park,1971,1032,,PAYHAYOKEE,49,Human,3,,,25.432678,-80.789813,19711029,19711029,,,19711029,187,19711029,,,,,Incomplete
230100,NPS,SERO,FLEVP,Everglades National Park,1971,1033,,LPK CAMPGR,49,Human,3,,,25.400072,-80.657078,19711105,19711105,,,19711105,20,19711105,,,,,Incomplete
230101,NPS,SERO,FLEVP,Everglades National Park,1971,1034,,E BOUNDARY,49,Human,3,,,,,19711108,19711108,,,19711108,2530,19711108,,,,,Incomplete
230102,NPS,SERO,FLEVP,Everglades National Park,1971,1035,,BLOCKS R&S,49,Human,3,,,25.383634,-80.591472,19711111,19711111,,,19711111,32,19711111,,,,,Incomplete
230103,NPS,SERO,FLEVP,Everglades National Park,1971,1036,,BLOCK J,49,Human,3,,,25.40015,-80.626128,19711118,19711118,,,19711118,800,19711118,,,,,Incomplete
230104,NPS,SERO,FLEVP,Everglades National Park,1971,1037,,ROSIE,11,Human,3,,,25.385993,-80.6521,19711121,19711121,,,19711121,205,19711121,,,,,Incomplete
230105,NPS,SERO,FLEVP,Everglades National Park,1971,1038,,MISSILE BA,49,Human,3,,,,,19711124,19711124,,,19711124,15,19711124,,,,,Incomplete
230106,NPS,SERO,FLEVP,Everglades National Park,1971,1039,,FRAMBO TRA,11,Human,3,,,25.483507,-80.63889,19711127,19711127,,,19711127,300,19711127,,,,,Incomplete
230107,NPS,SERO,FLEVP,Everglades National Park,1971,1040,,L-67/L-31W,49,Human,3,,,,,19711207,19711207,,,19711207,1500,19711207,,,,,Incomplete
230108,NPS,SERO,FLEVP,Everglades National Park,1971,1041,,THE CHIEF,11,Human,3,,,25.369561,-80.719276,19711219,19711219,,,19711219,1200,19711219,,,,,Incomplete
230109,NPS,SERO,FLEVP,Everglades National Park,1971,1042,,xx NONE xx,11,Human,3,,,,,19710130,19710130,,,19710130,0.1,19710130,,,,,Incomplete
230110,NPS,SERO,FLEVP,Everglades National Park,1971,1043,,xx NONE xx,11,Human,3,,,,,19710205,19710205,,,19710205,0.1,19710205,,,,,Incomplete
230111,NPS,SERO,FLEVP,Everglades National Park,1971,1044,,xx NONE xx,11,Human,3,,,,,19710317,19710317,,,19710317,3,19710317,,,,,Incomplete
230112,NPS,SERO,FLEVP,Everglades National Park,1971,1045,,xx NONE xx,11,Human,3,,,,,19710426,19710426,,,19710426,1,19710426,,,,,Incomplete
230113,NPS,SERO,FLEVP,Everglades National Park,1971,1046,,xx NONE xx,11,Human,3,,,,,19710504,19710504,,,19710504,1,19710504,,,,,Incomplete
230114,NPS,SERO,FLEVP,Everglades National Park,1971,1047,,xx NONE xx,11,Human,3,,,,,19710518,19710518,,,19710518,1,19710518,,,,,Incomplete
230115,NPS,SERO,FLEVP,Everglades National Park,1971,1048,,xx NONE xx,11,Natural,3,,,,,19710603,19710603,,,19710603,9,19710603,,,,,Incomplete
230116,NPS,SERO,FLEVP,Everglades National Park,1971,1049,,xx NONE xx,11,Human,3,,,,,19711202,19711202,,,19711202,7,19711202,,,,,Incomplete
230117,NPS,SERO,FLEVP,Everglades National Park,1971,1055,,DOG LAKE,11,Natural,3,,,,,19710812,19710812,,,19710812,0.1,19710813,,,,,Incomplete
230118,NPS,SERO,FLEVP,Everglades National Park,1972,2001,,BIG JOHN,11,Human,3,,,25.53653,-80.571806,19720111,19720111,,,19720111,981,19720111,,,,,Incomplete
230119,NPS,SERO,FLEVP,Everglades National Park,1972,2002,,BIG JOHN 2,11,Human,3,,,25.523811,-80.582761,19720121,19720121,,,19720121,2600,19720121,,,,,Incomplete
230120,NPS,SERO,FLEVP,Everglades National Park,1972,2003,,PARK LINE,11,Human,3,,,25.387718,-80.745585,19720131,19720115,,,19720115,45,19720131,,,,,Incomplete
